127.0.0.1 - - [21/May/2018:10:21:15 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/May/2018:10:21:20 +0300] "GET /AdvJavaProject/index.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [21/May/2018:10:21:20 +0300] "GET /AdvJavaProject/js/bootstrap.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/May/2018:10:21:20 +0300] "GET /AdvJavaProject/css/bootstrap.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [21/May/2018:10:21:20 +0300] "GET /AdvJavaProject/css/font-awesome.min.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [21/May/2018:10:21:20 +0300] "GET /AdvJavaProject/js/jquery-3.3.1.min.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [21/May/2018:10:21:20 +0300] "GET /AdvJavaProject/js/popper.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [21/May/2018:10:21:20 +0300] "GET /AdvJavaProject/js/bootstrap.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/May/2018:10:21:20 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:00 +0300] "GET /AdvJavaProject/index.jsp HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:00 +0300] "GET /AdvJavaProject/css/bootstrap.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:00 +0300] "GET /AdvJavaProject/css/font-awesome.min.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:00 +0300] "GET /AdvJavaProject/js/jquery-3.3.1.min.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:00 +0300] "GET /AdvJavaProject/js/popper.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:00 +0300] "GET /AdvJavaProject/js/bootstrap.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:07 +0300] "GET /AdvJavaProject/index.jsp HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:07 +0300] "GET /AdvJavaProject/css/bootstrap.min.css HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:07 +0300] "GET /AdvJavaProject/css/font-awesome.min.css HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:07 +0300] "GET /AdvJavaProject/js/jquery-3.3.1.min.js HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:07 +0300] "GET /AdvJavaProject/js/popper.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [21/May/2018:10:27:07 +0300] "GET /AdvJavaProject/js/bootstrap.min.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/May/2018:10:28:04 +0300] "GET /AdvJavaProject/index.jsp HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [21/May/2018:10:28:04 +0300] "GET /AdvJavaProject/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124992
0:0:0:0:0:0:0:1 - - [21/May/2018:10:28:04 +0300] "GET /AdvJavaProject/bootstrap/css/font-awesome.min.css HTTP/1.1" 200 31028
0:0:0:0:0:0:0:1 - - [21/May/2018:10:28:04 +0300] "GET /AdvJavaProject/bootstrap/js/popper.min.js HTTP/1.1" 200 20560
0:0:0:0:0:0:0:1 - - [21/May/2018:10:28:04 +0300] "GET /AdvJavaProject/bootstrap/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
